i,v1,v2,v3,v4,v5,v6,ii,iii,avr,avl,avf
3.3587441,3.993632,3.1370473,2.9939694,2.8332777,2.4006817,3.7984662,532.0,528.6412558555603,-267.67937207221985,-262.6412558555603,530.3206279277802
3.3446734,4.010314,3.1370454,2.9668589,2.8332777,2.4006815,3.798409,530.0,526.6553266048431,-266.67233669757843,-261.65532660484314,528.3276633024216
3.3655913,4.0115285,3.1370473,2.9443996,2.8332777,2.4006815,3.7984328,525.0,521.6344087123871,-264.18279564380646,-259.1344087123871,523.3172043561935
3.3470497,4.012029,3.1370447,2.8471432,2.8332777,2.4006815,3.7982726,522.0,518.6529502868652,-262.6735248565674,-257.65295028686523,520.3264751434326
3.314576,4.0120425,3.1370482,2.846965,2.833278,2.4006815,3.7983334,520.0,516.6854240894318,-261.6572879552841,-256.68542408943176,518.3427120447159
3.303492,4.0120473,3.1370425,2.8317525,2.833278,2.4006817,3.7978888,523.0,519.6965079307556,-263.1517460346222,-258.1965079307556,521.3482539653778
3.3016753,4.012048,3.137042,2.8274584,2.8333023,2.4006817,3.7977688,523.0,519.6983246803284,-263.1508376598358,-258.19832468032837,521.3491623401642
3.3102098,4.0120454,3.1370525,2.8296504,2.8332798,2.400682,3.7964869,524.0,520.6897902488708,-263.6551048755646,-258.68979024887085,522.3448951244354
3.310864,4.0120463,3.1370444,2.869895,2.8332782,2.400607,3.79658,525.0,521.6891360282898,-264.1554319858551,-259.1891360282898,523.3445680141449
3.3108568,4.012037,3.1370425,2.9350412,2.833278,2.4006138,3.7967675,526.0,522.6891431808472,-264.6554284095764,-259.68914318084717,524.3445715904236
3.310841,4.0120306,3.137041,2.9791827,2.833278,2.394725,3.797403,525.0,521.6891589164734,-264.1554205417633,-259.1891589164734,523.3445794582367
3.3096488,4.0120387,3.137041,2.9612641,2.833278,2.3844848,3.7972088,527.0,523.6903512477875,-265.15482437610626,-260.1903512477875,525.3451756238937
3.310852,4.012049,3.137041,2.955626,2.8332784,2.4002128,3.7978725,527.0,523.6891479492188,-265.1554260253906,-260.18914794921875,525.3445739746094
3.309225,4.012045,3.137041,2.9293005,2.833278,2.4002786,3.7972481,527.0,523.6907749176025,-265.15461254119873,-260.19077491760254,525.3453874588013
3.3089685,4.0120635,3.1370416,2.972548,2.8332813,2.4004385,3.7900312,526.0,522.6910314559937,-264.6544842720032,-259.69103145599365,524.3455157279968
3.3107414,4.012064,3.137052,2.9751363,2.833278,2.4002337,3.7371619,527.0,523.6892585754395,-265.1553707122803,-260.18925857543945,525.3446292877197
3.310868,4.0122657,3.1370442,2.9736722,2.833278,2.400652,3.7046003,528.0,524.689131975174,-265.655434012413,-260.68913197517395,526.344565987587
3.310905,4.013078,3.1370418,2.9306474,2.8332777,2.4006763,3.7104876,527.0,523.6890950202942,-265.1554524898529,-260.1890950202942,525.3445475101471
